岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
财务部/捐赠票据及会计档案管理实习生,100-120元/天,3个月,岗位名称：捐赠票据及会计档案管理实习生 ,本科,1,2024-05-14 11:41,壹基金,101~300人,广东,政府/非盈利机构/其他
内容运营及KOL拓展实习生,100-120元/天,3个月,岗位名称：内容运营及KOL拓展实习生,大专,1,2024-05-14 11:41,壹基金,101~300人,广东,政府/非盈利机构/其他
环保行业实习,1-2K/月,6个月,熟练掌握Arcgis、Word、Excel等常用软件，负责资料收集和整理、数据采集和处理；,不限,5,2024-05-10 17:27,广东省环科院土壤所,101~300人,广东,能源|环保
博物馆营运实习,150-200元/天,长期,主要职责:,本科,10,2024-05-14 11:54,SHMOG,11~50人,上海,政府/非盈利机构/其他
财务实习生,4-6K/月,长期,1.审验原始凭证的合法性和准确性，完成现金收付、报销等工作;,大专,1,2024-05-15 07:02,出众集团,101~300人,广东,生活服务
前台行政实习生,100-150元/天,3个月,1.负责公司前台接待访客，并及时准确通知被访人员；,大专,1,2024-04-29 06:36,润普网络,101~300人,广东,互联网|游戏|软件
运营实习生,100-150元/天,3个月,岗位职责,本科,3,2024-04-18 18:52,经纬恒润,3001人及以上,北京,汽车|机械|制造
内容运营线上实习生,2-4K/月,3个月,1，英文内容线上运营,大专,5,2024-04-18 17:03,世强先进,301~1000人,广东,IT|通信|电子
编辑实习生——金融学,120-200元/天,3个月,与金融学专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2024-04-19 10:08,圣才电子书,101~300人,北京,互联网|游戏|软件
编辑实习生——医学检验,120-200元/天,3个月,与医学检验专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2024-04-19 10:08,圣才电子书,101~300人,北京,互联网|游戏|软件
编辑实习生——中医,120-200元/天,3个月,与中医专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2024-04-19 10:08,圣才电子书,101~300人,北京,互联网|游戏|软件
费用专员实习生,100-150元/天,6个月,1. 根据标准审核规则，审核一般费用报销、差旅报销等单据，保证单据的合理合规性；,大专,2,2024-04-18 09:59,理邦仪器,1001~3000人,广东,生物|医药
策划实习生,100-150元/天,6个月,1、负责公司IVD市场活动、品牌传播及策划；,本科,1,2024-04-18 09:59,理邦仪器,1001~3000人,广东,生物|医药
商业化数据运营【2025届】,面议,3个月,1、参与平台商业化相关数据分析，包括广告，up主商单和交易带货等方向，为平台业务决策提供数据支持。,本科,1,2024-04-18 09:57,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
游戏市场策划【2025届】,面议,3个月,1、参与游戏测试到上线推广全过程，协助制定游戏各阶段市场策略及产出营销创意；,本科,1,2024-04-18 09:57,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
新媒体运营实习生,150-200元/天,6个月,工作职责：,本科,3,2024-04-18 09:56,理邦仪器,1001~3000人,广东,生物|医药
联运游戏运营【2025届】,面议,3个月,1.与联运游戏的研发及发行商对接，参与重点游戏在B站联运发行的各个环节，包括首曝、测试、首发、版本，确保联运游戏各个节点的顺利进行。,本科,1,2024-04-18 09:56,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
游戏平台运营【2025届】,面议,3个月,1、参与游戏自媒体账号运营，策划并管理内容发布，持续提升粉丝数量及活跃度，扩大账号影响力。,本科,1,2024-04-18 09:56,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
iOS开发工程师（广告）【2025届】,面议,3个月,1.负责参与B站广告系统平台的客户端开发工作，确保其在B站APP内高效运行。,本科,1,2024-04-18 09:55,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
开发工程师（数据产品部）【2025届】,面议,3个月,1. 参与评审项目需求，与产品保持信息同步，执行前端研发方案，确保项目准时交付,本科,1,2024-04-18 09:54,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
开发工程师（数据产品部）【2025届】,面议,3个月,1、负责B站海量数据的抽取、转换、加载，和数据维护等工作；,本科,10,2024-04-18 09:54,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
算法实习生（内容理解）【2025届】,面议,3个月,1. 协助团队进行大语言模型的预训练和微调工作，提高模型的性能和效率。,本科,10,2024-04-18 09:53,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
算法实习生（大语言模型）【2025届】,面议,3个月,1. 协助团队进行大语言模型的预训练和微调工作，提高模型的性能和效率。,本科,10,2024-04-18 09:53,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
算法工程师（内容安全）【2025届】,面议,3个月,1、参与公司内容安全相关数据分析、策略制定和开发工作；,本科,10,2024-04-18 09:52,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
搜索推荐算法工程师【2025届】,面议,3个月,1、参与推荐、搜索、广告等业务的策略优化工作；,本科,10,2024-04-18 09:52,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
数据开发工程师（游戏）【2025届】,面议,3个月,1. 负责游戏数据平台业务系统开发；,本科,10,2024-04-18 09:51,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
语音算法实习生（语音识别）【2025届】,面议,3个月,1、负责音频相关算法研发，包括但不限于语音合成、歌声合成、声音转换、音乐理解、音乐生成等；,本科,10,2024-04-18 09:45,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
c++广告检索引擎开发工程师【2025届】,面议,3个月,1. 负责商业广告推荐引擎的日常研发；,本科,10,2024-04-18 09:45,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
c++机器学习引擎开发工程师【2025届】,面议,3个月,1.负责设计、研发和优化商业化模型推理服务和训练服务。,本科,10,2024-04-18 09:42,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
开发工程师（搜索&推荐工程）【2025届】,面议,3个月,致力于推荐系统、搜索系统、弹幕系统、机器学习平台等核心分布式系统的架构设计与研发。,本科,10,2024-04-18 09:41,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
广告智能创意算法工程师【2025届】,面议,3个月,工作职责:,本科,10,2024-04-18 09:41,哔哩哔哩,3001人及以上,上海,互联网|游戏|软件
管培生,4-6K/月,3个月,1.负责阿里、京东及各社交电商渠道运营数据的收集及分析；,本科,2,2024-04-18 09:08,知原药业,301~1000人,江苏,生物|医药
心理服务平台—咨询志愿者,面议,3个月,a)为来访者提供专业的心理科普服务，担任心理服务平台心理沟通专员志愿者角色；,本科,3,2024-05-09 16:40,幸福俱乐部,11~50人,北京,政府/非盈利机构/其他
心理服务实习生,面议,3个月,a)为来访者提供专业的心理科普服务，担任心理服务平台心理沟通专员志愿者角色；,本科,3,2024-05-09 16:31,幸福俱乐部,11~50人,北京,政府/非盈利机构/其他
市场营销与运营实习生,150-200元/天,3个月,1，创新性地制定并实施设计大赛的销售策略，包括发掘新的推广渠道、设计吸引人的宣传内容等，以提高参赛者的参与度。,本科,1,2024-05-16 10:49,CBi桥中创新,11~50人,上海,咨询/法律/人力资源
UI设计实习,100-150元/天,6个月,1、参与产品界面视觉用户研究；协助完成移动端app和网页的设计工作； ,本科,2,2024-05-17 09:56,小嘻科技,11~50人,四川,互联网|游戏|软件
在线一对一辅导老师家教,200-400元/天,长期,1、通过自有教学平台进行在线一对一家教工作；针对小初高全科，足不出户在家，寝室网络稳定即可,本科,50,2024-05-16 13:19,林煜科技,51~100人,浙江,互联网|游戏|软件
新媒体实习,100-150元/天,3个月,1、自媒体平台微信、官方微博、今日头条号等自媒体的日常运营及推文工作； ,本科,2,2024-05-17 09:56,小嘻科技,11~50人,四川,互联网|游戏|软件
平面设计实习生,150-200元/天,3个月,2024年第四季度实习生招募ing......,本科,4,2024-05-16 10:49,CBi桥中创新,11~50人,上海,咨询/法律/人力资源
前端开发工程师实习,250-300元/天,长期,本岗位仅面向24届在校生，有转正机会，过往需有3个月及以上实习经历。,本科,1,2024-05-14 17:28,堆糖,51~100人,上海,互联网|游戏|软件
在线辅导老师家教,300-500元/天,长期,1、通过平台本身自有教学线上平台进行在线一对一小学/中/高中，擅长其中任何一门学科教学工作；欢迎在校学生前来锻炼提升自己；,大专,100,2024-05-16 13:20,林煜科技,51~100人,浙江,互联网|游戏|软件
在线答题老师,300-500元/天,长期,工作职责：,大专,100,2024-05-16 13:19,林煜科技,51~100人,浙江,互联网|游戏|软件
教研助理（线下实习）,120-150元/天,4个月,1、参与新课程的规划，及时更新课程内容，保证课程研发水准；,本科,2,2024-05-11 10:15,海星纪元,11~50人,上海,教育培训
在线答题老师,300-500元/天,长期,1、根据我司发布的题目（有答案），根据解题要求和规范进行录屏解题、编辑解析文本,大专,100,2024-05-16 13:20,林煜科技,51~100人,浙江,互联网|游戏|软件
科普直播选品产品经理及文案编辑,100-200元/天,6个月,岗位职责：,本科,2,2024-05-15 21:55,爆炸实验室,10人以内,江苏,互联网|游戏|软件
在线一对一辅导老师家教,200-400元/天,长期,工作职责：,本科,50,2024-05-16 13:20,林煜科技,51~100人,浙江,互联网|游戏|软件
在线辅导老师家教,300-500元/天,长期,【岗位职责】,大专,100,2024-05-16 13:19,林煜科技,51~100人,浙江,互联网|游戏|软件
科普直播选品产品经理及文案编辑,100-200元/天,6个月,岗位职责：,本科,2,2024-05-15 21:55,爆炸实验室,10人以内,江苏,互联网|游戏|软件
在线辅导老师家教,300-500元/天,长期,【岗位职责】,大专,100,2024-05-16 13:19,林煜科技,51~100人,浙江,互联网|游戏|软件
海外运营实习,100-150元/天,3个月,1、负责海外日常用户意见收集，综合分析相关情况，输出海外版本优化建议；,本科,2,2024-05-17 09:56,小嘻科技,11~50人,四川,互联网|游戏|软件
在线一对一辅导老师家教,200-400元/天,长期,工作职责：,本科,50,2024-05-16 13:20,林煜科技,51~100人,浙江,互联网|游戏|软件
运营部实习生,120-150元/天,3个月,1. 协助运营经理完成资料整理；,本科,3,2024-04-24 17:29,梧桐树资本,11~50人,北京,金融
小说审阅实习生,50-60元/天,2个月,1.审阅相关作品重复更新内容、发布敏感违规内容的行为；,本科,5,2024-04-18 16:44,环球网,301~1000人,北京,广告|传媒|文化|体育
投资部实习生,120-150元/天,3个月,1. 开展市场及行业研究，深入了解行业现状，判断行业走势；,本科,3,2024-04-24 15:26,梧桐树资本,11~50人,北京,金融
天猫邀评客服实习生,面议,3个月,1 提供专业化个性服务，运用产品及运动知识与顾客建立联系，为运动用户创造良好的购物体验，让运动爱好者满意；  ,本科,10,2024-04-17 18:03,迪卡侬,3001人及以上,上海,快速消费品
天猫邀评客服实习生,面议,3个月,1、有网购经验，对淘宝/天猫平台有一定的了解,本科,10,2024-04-17 18:02,迪卡侬,3001人及以上,上海,快速消费品
人力资源实习生HR Intern,面议,3个月,1、通过招聘系统筛选简历，并进行简单的电话沟通，协助面试的安排,本科,10,2024-04-17 18:01,迪卡侬,3001人及以上,上海,快速消费品
抖音短视频实习生,面议,3个月,1、参与短视频内容构思，包括选题、脚本、拍摄;,本科,10,2024-04-17 18:00,迪卡侬,3001人及以上,上海,快速消费品
京东运营实习生,面议,3个月,1.    负责监测到货跟踪、缺货预警等，并每日跟踪进度，帮助店铺的库存运行健康,本科,10,2024-04-17 18:00,迪卡侬,3001人及以上,上海,快速消费品
迪卡侬市场战略实习生,面议,3个月,-协助迪卡侬革新项目的项目管理，包括各个工作流的进度跟踪把握，与各部门协调确定解决方案，以及项目落地后持续保持项目顺利执行，进行数据复盘等,本科,10,2024-04-17 17:59,迪卡侬,3001人及以上,上海,快速消费品
迪卡侬电商数据分析实习生,面议,2个月,-协助完成日常商业数据收集及整理;（50%工作量）,本科,10,2024-04-17 17:58,迪卡侬,3001人及以上,上海,快速消费品
电商商品策划实习生,面议,2个月,1.协助完成公司商品货表，并定期更新商品集和重点信息；,本科,10,2024-04-17 17:57,迪卡侬,3001人及以上,上海,快速消费品
总裁办实习生,150-155元/天,3个月,岗位职责：,本科,2,2024-04-17 17:54,正帆科技,301~1000人,上海,能源|环保
商业领导力管理培训生项目暑期实习生（CLP EID）,面议,2个月,工作地点：广州、北京、成都、上海、南昌、合肥、西安、太原、武汉、福州、济南、贵阳、长沙、哈尔滨、杭州,本科,20,2024-04-17 17:38,GE医疗,3001人及以上,上海,生物|医药
爱迪生工程技术管理培训生项目暑期实习生（EEDP EID）,面议,2个月,工作地点：北京、无锡,本科,20,2024-04-17 17:38,GE医疗,3001人及以上,上海,生物|医药
卓越设备维护技术专家项目暑期实习生（SSEP EID）,面议,2个月,工作地点：南宁、长沙、福州、深圳、西安、成都、重庆、昆明、兰州、乌鲁木齐、上海、南京、杭州、北京、太原,本科,20,2024-04-17 17:38,GE医疗,3001人及以上,上海,生物|医药
生产运营管理领导力项目暑期实习生（OMLP EID）,面议,2个月,工作地点：北京、天津、上海、无锡、成都,本科,20,2024-04-17 17:38,GE医疗,3001人及以上,上海,生物|医药
爬虫实习生,80-100元/天,3个月,岗位职责：,本科,6,2024-05-07 10:36,探迹,51~100人,广东,IT|通信|电子
花旗暑期实习生,面议,2个月,花旗集团作为世界知名的金融机构，在全球为160多个国家内的个人、企业、相关职能部门和机构提供一系列广泛的金融产品和服务。花旗在中国的悠久历史可以追溯到1902年5月，当时花旗银行在上海开办其在华的第一家分行，成为首批在中国开业的美国银行。如今，花旗银行已经成为中国领先的国际性银行。2002年，花旗金融信息服务（中国）有限公司，即花旗集团中国技术运营中心在上海注册成立。主要为花旗集团全球地区的投资银行和消费银行提供软件开发和技术支持，并为花旗集团亚太及日本地区提供金融后台数据处理服务,本科,20,2024-04-17 16:30,花旗银行,3001人及以上,上海,金融
莉莉丝暑期实习生,面议,2个月,Who is 莉莉丝游戏,本科,20,2024-04-17 16:27,莉莉丝游戏,1001~3000人,上海,互联网|游戏|软件
暑期实习生,面议,2个月,全球领先的综合通信与信息技术解决方案提供商,本科,20,2024-04-17 15:52,中兴通讯,3001人及以上,广东,IT|通信|电子
暑期训练营,面议,2个月,岗位介绍：,本科,100,2024-04-17 14:14,TINECO添可,1001~3000人,江苏,互联网|游戏|软件
智能驾驶软件测试实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.参与智驾零部件软件版本的功能及性能测试，包括台架集成测试及实车验证测试，并协助评审供应商的版本交付物.2.根据测试结果编写测试报告.3.协助其他测试及开发团队开展调试验证工作.,本科,10,2024-04-17 10:31,极氪,100-499人,浙江,互联网|游戏|软件
功能场景验收实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.协助功能验收经理日常工作管理及推动。2.协助功能场景验收用例管理及推动。3.协助功能场景验收问题管理4.协助功能场景用例测试，及现场问题分析,本科,10,2024-04-17 10:29,极氪,100-499人,浙江,互联网|游戏|软件
EcuOwner实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.协助电驱动系统软件需求开发工作；2.协助电驱动系统硬件开发工作；3.协助电驱系统基础技术开发工作；4.协助电驱系统售后诊断开发工作；5.协助电驱系统软硬件交付工作。,本科,10,2024-04-17 10:29,极氪,100-499人,浙江,互联网|游戏|软件
ADAS软件开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.协助完成通信、进程启动等相关测试2.协助开发测试脚本及工具3.协助完成常规事务性工作4.协助开发工程师完成相关问题的分析验证,本科,10,2024-04-17 10:28,极氪,100-499人,浙江,互联网|游戏|软件
项目质量工程师实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.协助负责项目日常会议管理、运营管理；2.协助负责项目汇报材料编辑、文档及信息档案管理；3.协助负责项目计划编制及变更管理；4.协助负责项目预算的收集、编制及管控；5.其他项目管理相关工作。,本科,10,2024-04-17 10:27,极氪,100-499人,浙江,互联网|游戏|软件
电驱软件算法实习生（橙焰）,面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,硕士,10,2024-04-17 10:27,极氪,100-499人,浙江,互联网|游戏|软件
ADAS算法实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.参与ADAS功能（包括但不限于AEB/LKA/ACC/AES/LDW/RSPA/FCW等）算法的开发、调试及实车验证；2.协助周边模块完成系统集成和调试工作.,硕士,10,2024-04-17 10:25,极氪,100-499人,浙江,互联网|游戏|软件
新能源产品开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.熟悉锂电池储能系统结构组成、电气拓扑和工作原理；2.协助进行储能产品的测试计划制定、测试方案编写和测试进度跟踪；3.协助进行储能产品测试验证台架搭建、电气系统调试和测试，完成测试数据和报告整理；4.协助进行测试问题整理和问题分析、问题整改和验证；5.协助和项目设计开发工程师进行产品测试验证相关技术对接确认。,本科,10,2024-04-17 10:25,极氪,100-499人,浙江,互联网|游戏|软件
智能驾驶推理预测算法实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.参与推理预测模型预研和开发上线;2.整理和分析相关数据，为算法设计和模型构建提供支持和参考;3.参与算法的实际应用和测试，确保算法的准确性和可靠性。,硕士,10,2024-04-17 10:24,极氪,100-499人,浙江,互联网|游戏|软件
座舱功能集成实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.协助智能座舱功能新技术调研、行业对标及项目应用开发。2.协助项目智能座舱变更功能场景和需求分析、提案编制、功能清单管理。3.协助项目智能座舱功能软件开发计划、联调计划等功能交付管控。4.协助座舱功能点检、验收及问题调查。,本科,10,2024-04-17 10:24,极氪,100-499人,浙江,互联网|游戏|软件
试验验证实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 10:24,极氪,100-499人,浙江,互联网|游戏|软件
附件开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,硕士,10,2024-04-17 10:22,极氪,100-499人,浙江,互联网|游戏|软件
开闭件开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,硕士,10,2024-04-17 09:56,极氪,100-499人,浙江,互联网|游戏|软件
规划控制算法测试实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.参与规划控制算法的测试和验证工作，确保算法的正确性和稳定性。2.根据需求和设计文档，编写测试用例和测试脚本，对算法进行功能和性能测试。3.执行测试计划，记录和分析测试结果，发现并报告算法中的问题和潜在风险。,硕士,10,2024-04-17 09:50,极氪,100-499人,浙江,互联网|游戏|软件
热设计实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:49,极氪,100-499人,浙江,互联网|游戏|软件
结构设计实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:49,极氪,100-499人,浙江,互联网|游戏|软件
构图定位算法测试实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,硕士,10,2024-04-17 09:48,极氪,100-499人,浙江,互联网|游戏|软件
竞品分析员实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.负责竞品件对标分析、组织竞品拆解工作，跟踪拆解进展、梳理2.负责竞品车测试计划统筹管理，组织竞品车试验测试，持续跟踪试验测试计划,本科,10,2024-04-17 09:47,极氪,100-499人,浙江,互联网|游戏|软件
外饰开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。岗位职责:1.协助工程师参与外饰产品研发，配合项目组完成零部件新品开发2.协助工程师负责编制产品的开发计划并跟踪落地3.协助工程师负责与供应商技术交流，对产品进行质量改善及提升4.协助工程师负责组织对零部件工装样件的认可，跟踪零部件的DV及整车试验的验证进度,本科,10,2024-04-17 09:46,极氪,100-499人,浙江,互联网|游戏|软件
光学工程师实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:45,极氪,100-499人,浙江,互联网|游戏|软件
产品经理实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:44,极氪,100-499人,浙江,互联网|游戏|软件
仪表板开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:43,极氪,100-499人,浙江,互联网|游戏|软件
软件开发实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:42,极氪,100-499人,浙江,互联网|游戏|软件
产品工程定义实习生- 出行娱乐域助理PO(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:41,极氪,100-499人,浙江,互联网|游戏|软件
机械仿真实习生(橙焰),面议,3个月,橙焰计划是极氪为即将进行研究生深造或当前处于研究生阶段，且未来有志于投身新能源汽车赛道的优秀同学专门设立的职业发展项目，旨在帮助同学积累专业经验，加速职业发展。通过该项目加入极氪，将获得和正式员工相同的培训和工作经验。在项目期间，圆满地完成特定实习时长且符合一定条件后，将提前获得应届校招录用资格。,本科,10,2024-04-17 09:40,极氪,100-499人,浙江,互联网|游戏|软件
